:START_ID,:END_ID,:TYPE
"Michigan State University","Iowa State University",COAUTHORED_WITH
"East Carolina University","Kansas State University",COAUTHORED_WITH
"East Carolina University","Kansas State University",COAUTHORED_WITH
"University at Albany","East Carolina University",COAUTHORED_WITH
"London School of Hygiene and Tropical Medicine, London WC1E 7HT, United Kingdom","East Carolina University",COAUTHORED_WITH
"East Carolina University","East China University of Science and Technology",COAUTHORED_WITH
"University of Banking of the National Bank of Ukraine","Research and Production Corporation Radiy, 29 Geroyev Stalingrada St., Kirovograd, Ukraine",COAUTHORED_WITH
"Cardiff University","East Carolina University",COAUTHORED_WITH
"Advisory Information Developer Software Group, IBM Corporation, Alfred, ME, United States","East Carolina University",COAUTHORED_WITH
"Institute of Mathematics","Computer Science and Artificial Intelligence Laboratory, MIT, Cambridge, MA 02139, United States",COAUTHORED_WITH
"East Carolina University","California State University – Fullerton",COAUTHORED_WITH
"University of Cincinnati","East Carolina University",COAUTHORED_WITH
"East Carolina University","Ingersoll Rand University in DavidsonNC",COAUTHORED_WITH
"University of Strathclyde","Oxford Brookes University",COAUTHORED_WITH
"East Carolina University","Surface Optics Corporation, 11555 Rancho Bernardo Rd., San Diego, CA 92197, United States",COAUTHORED_WITH
"East Carolina University","INRIA Lille Nord Europe, Lille, France",COAUTHORED_WITH
"East Carolina University","Southern Polytechnic State University",COAUTHORED_WITH
"University of Colorado at Denver","East Carolina University",COAUTHORED_WITH
"University of Toledo","University of Memphis",COAUTHORED_WITH
"University of Washington","East Carolina University",COAUTHORED_WITH
"School of Resources and Environment, UESTC, Chengdu, China","Shanghai Institute of Satellite Engineering",COAUTHORED_WITH
"Rensselaer Polytechnic Institute","University of Arkansas",COAUTHORED_WITH
"Iowa State University","Michigan State University",COAUTHORED_WITH
"Sun Yat-sen University","Jiangsu University of Science and Technology",COAUTHORED_WITH
"Florida State University","University of Memphis",COAUTHORED_WITH
"Woxsen School of Business, Jubilee Road No. 36, Hyderabad, India","China University of Geosciences",COAUTHORED_WITH
"Software Engineering, Corbis, Inc., Seattle, WA, United States","Portland State University",COAUTHORED_WITH
"East Carolina University","Waynesburg University",COAUTHORED_WITH
"East Carolina University","North Dakota State University",COAUTHORED_WITH
"California State University – Fullerton","La Habra City School District, La Habra, CA, United States",COAUTHORED_WITH
"Software Engineering, Corbis, Inc., Seattle, WA, United States","East Carolina University",COAUTHORED_WITH
"East Carolina University","Bucknell University",COAUTHORED_WITH
"North Carolina State University","East Carolina University",COAUTHORED_WITH
"North Carolina State University","East Carolina University",COAUTHORED_WITH
"North Carolina State University","East Carolina University",COAUTHORED_WITH
"East Carolina University","Senior Information Developer Systems and Technology Group, IBM Corporation, Poughkeepsie, NY, United States",COAUTHORED_WITH
"East Carolina University","Utah Valley State College",COAUTHORED_WITH
"East Carolina University","Universityersidad de Talca",COAUTHORED_WITH
"University of Johannesburg","East Carolina University",COAUTHORED_WITH
"George Washington University","Southern Illinois University",COAUTHORED_WITH
"Florida State University","East Carolina University",COAUTHORED_WITH
"Florida State University","East Carolina University",COAUTHORED_WITH
"Florida State University","East Carolina University",COAUTHORED_WITH
"East Carolina University","College for Financial Planning",COAUTHORED_WITH
"Senior Information Developer Systems and Technology Group, IBM Corporation, Poughkeepsie, NY, United States","East Carolina University",COAUTHORED_WITH
"Research and Production Corporation Radiy, 29 Geroyev Stalingrada St., Kirovograd, Ukraine","East Carolina University",COAUTHORED_WITH
"East Carolina University","University of North Carolina",COAUTHORED_WITH
"Florida A and M University","University of Washington",COAUTHORED_WITH
"Center for Information Geoscience, UESTC 2006 Xiyuan Avenue West Hi-tech Zone Chengdu, Sichuan, China","East Carolina University",COAUTHORED_WITH
"Chaoyang University of Technology","East Carolina University",COAUTHORED_WITH
